,median_mz(Da),N_spectra,min_mz,max_mz,IQR_mz(ppm),mean_Int,min_Int,max_Int,median_Int,Int_Q1,Int_Q3
0,55.0542957275142,7.0,55.054203211878026,55.05445182381378,1.5926077760310762,4.4955378301660565,0.0,8.504009219660356,5.520170245272935,0.0,7.529188148595781
1,67.05425426199386,10.0,67.05410420613994,67.05448036425052,1.419881224470956,6.04042696134696,0.5121584144677027,8.875018661218991,7.051686870520058,5.511225100049996,7.710914976758858
2,69.03344703919214,5.0,69.03330236882428,69.03364157332467,2.344449152776522,1.989570063825405,0.0,5.529555187173446,0.0,0.0,4.526779689107505
3,79.0542472023144,5.0,79.05398967478227,79.05447075344082,1.9955047088995828,1.8194689283284564,0.0,4.391751345804617,0.0,0.0,3.4459055585555536
4,83.08555630387771,12.0,83.08527596098304,83.08567204241868,1.4129342625498047,16.071638608611575,13.470255202588266,19.543487305732942,16.071803874768744,14.484080194023502,17.753548727463482
5,93.06995802452538,7.0,93.0697016128199,93.07054123915138,1.9579491895066141,3.8345360792436134,0.0,7.529544057857239,5.03046744378162,0.0,6.660997629040316
6,97.1010787489074,12.0,97.10092223401871,97.10126135675897,1.3838843797681137,45.81648150446741,39.065386532981535,49.64719948639913,47.2861648378355,44.55845728312853,48.77414418681559
7,107.08544625614783,12.0,107.08527507380718,107.08553990047001,1.2978932025470082,35.86652658392807,32.01696164528139,40.249114765974866,35.29295652416864,33.76995637267927,37.655440704023974
8,109.10137005228742,3.0,109.10131048422853,109.10146908439106,0.8076085695792065,1.0627913100417963,0.0,3.6403208856323346,0.0,0.0,0.8556019576165665
9,111.0442410994328,5.0,111.04403144275109,111.0443451130786,0.7193230616495142,2.8265389229239277,0.0,9.032428699454256,0.0,0.0,5.296967020759661
10,121.04301240985988,3.0,121.0429873064172,121.04326968538466,1.29604510846801,2.317809836150926,0.0,7.58930545691494,0.0,0.0,1.2033387799276452
11,124.11213197454373,10.0,124.11178904935083,124.11252272925209,2.1617102340128436,8.669641818165598,0.7761940072061547,12.595493998801714,9.450027162103321,8.032939731154901,11.615514753766853
12,125.09599636723527,12.0,125.09580509484776,125.09613312231106,1.1413972437681346,82.49114912742327,78.14338747446499,86.6313070895227,81.96718234414794,80.18929178599407,83.37980945912332
13,126.09939032738278,5.0,126.09910785377593,126.10003290882243,3.5238239545049614,1.7689820256026,0.0,4.715286882162006,0.0,0.0,3.7519033549965957
14,135.08031412839506,12.0,135.08011330481878,135.08058377652318,1.1842874677412196,34.549603007537264,31.283834103911584,38.46689255589417,33.304542690935996,32.31416741471317,37.27874448693038
15,142.12253353568508,12.0,142.1222184308135,142.12294280076782,2.011753623752531,29.30717288342624,25.826651516701013,33.11782920562191,28.605353361548662,26.568407780488332,32.222158915145585
16,152.1069642190506,12.0,152.10652114371186,152.10747847515577,2.5929700516131406,31.447746381540913,28.40329634603665,34.37831093116241,31.998482324902138,29.36876336178722,32.891508684799334
17,153.09112365158512,12.0,153.09053454755426,153.09149009744812,1.597294331808719,33.720098611359894,27.194129189752914,39.43485229606442,33.52812977493078,32.37629128872097,35.7300315739168
18,170.11748792118965,12.0,170.1172573532535,170.1176435608641,0.8518685841162659,100.0,93.90695184678182,104.43497340208755,100.11200320953715,96.46656623712178,104.06684004092234
19,171.12100442612592,5.0,171.11899727453067,171.12158188635277,8.880600924544995,2.5608321979253534,0.0,6.615934719609592,0.0,0.0,5.746176512459459
20,185.11722098719423,6.0,185.11637376026033,185.1181464032296,5.399765390308851,2.657383016033051,0.0,5.934720925895212,1.5479621467646796,0.0,4.515633188231888
21,203.12650604459668,10.0,203.1237251552271,203.12780739870345,3.367535992674543,10.419376844008063,0.7922093290328818,17.92725891524564,10.8405541138522,8.195339460651898,13.531600566982508
