,ms2_id,Sample_id,explained_Int(%),SummMS2Table_id,Slice_id
0,4211.0,16.0,0.9588780971412914,222828.0,31.0
1,3914.0,31.0,0.9672299218486902,222829.0,31.0
2,3617.0,52.0,0.9526371292680935,222830.0,31.0
3,3816.0,26.0,0.9553991128301106,222831.0,31.0
4,3622.0,51.0,0.9744093945543032,222832.0,31.0
5,3955.0,10.0,0.9567260736101395,222823.0,31.0
6,4024.0,11.0,0.9641522715412965,222824.0,31.0
7,4167.0,15.0,0.9718041035994063,222825.0,31.0
8,3954.0,9.0,0.9672382363601716,222826.0,31.0
9,3891.0,30.0,0.9579623965027083,222827.0,31.0
10,3781.0,50.0,0.9530931940595301,222833.0,31.0
11,3873.0,25.0,0.9626164412962295,222834.0,31.0
12,3858.0,29.0,0.963082225669457,222835.0,31.0
13,3754.0,27.0,0.9671356435033691,222836.0,31.0
14,3659.0,53.0,0.9563801321118698,222837.0,31.0
