Element,Value,Min,Max
K,1,0,1
Na,0,0,1
C13,0,0,2
C,10,0,50
Cl,0,0,10
S34,0,0,2
S,0,0,10
P,0,0,10
F,0,0,10
O,5,0,20
N,5,0,20
H,30,0,100
