Element,Value,Min,Max
K,0,0,10
Na,0,0,10
C13,0,0,10
C,20,0,50
Cl,0,0,10
S34,0,0,10
S,0,0,10
P,0,0,10
F,0,0,10
O,5,0,20
N,5,0,20
H,50,0,100
